,link,classification,category,title,company,salary,min_salary,max_salary,location,description,entireDiv,date_posted
0,https://www.seek.com.au//job/73618013?type=promoted&ref=search-standalone,education training,Brand Management,Head of Brand & Communications (12 month contract) - Hybrid WFH,RMIT Online,-,,,Melbourne VIC,"Lead RMIT Online's brand growth with creativity, strategy, and fun. Shape the future of digital learning in our dynamic team!","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",
1,https://www.seek.com.au//job/73529725?type=promoted&ref=search-standalone,education training,Management - Schools,Director of ASC International,Anglican Schools Commission (Inc),-,,,Perth WA,"As Director of ASC International, you'll lead with vision, driving strategic growth and fostering global connections international education.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Perth WA"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Perth-WA?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Perth WA"">Perth WA</a></span></div>]",
2,https://www.seek.com.au//job/73573352?type=standard&ref=search-standalone,education training,Teaching - Vocational,Workshop Facilitator (Casual),Future Anything,$45 - $75 per hour,,,Brisbane QLD,Our Workshop Facilitators (Casual) deliver Future Anything’s suite of engaging student-facing workshops across Australia.,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Brisbane QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Brisbane-QLD?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Brisbane QLD"">Brisbane QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $45 - $75 per hour"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$45 - $75 per hour</span></span></div></div>]",2024-02-08
3,https://www.seek.com.au//job/73554134?type=standout&ref=search-standalone,education training,Management - Schools,Education Officer - Formation,Edmund Rice Education Australia,-,,,Melbourne VIC,An exciting opportunity exists for an experienced & motivated educational (or associated field) leader to join our National Team in March 2024,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",2024-02-07
4,https://www.seek.com.au//job/73618366?type=standard&ref=search-standalone,education training,Management - Schools,Head of Primary (Full-Time),German International School Sydney,"$142,000 – $155,000 per year + Super",,,"Terrey Hills, Sydney NSW","Embrace this rare opportunity to become part of a dynamic, supportive community where your passion for art makes a real difference.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Terrey Hills"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Terrey-Hills-NSW-2084?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Terrey Hills"">Terrey Hills</a>, <a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $142,000 – $155,000 per year + Super"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$142,000 – $155,000 per year + Super</span></span></div></div>]",
5,https://www.seek.com.au//job/73354472?type=standard&ref=search-standalone,education training,Management - Schools,Education Officer | School Inclusion Coach (two positions available),Diocese of Toowoomba Catholic Schools,"$127,794 to $144,319 per annum plus super",,,"Toowoomba, Toowoomba & Darling Downs QLD",Work with a geographically diverse team to provide expert advice and guidance on inclusive teaching practises,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Toowoomba"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Toowoomba-QLD-4350?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Toowoomba"">Toowoomba</a>, <a aria-label=""Limit results to Toowoomba &amp; Darling Downs QLD"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Toowoomba-&amp;-Darling-Downs-QLD?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Toowoomba &amp; Darling Downs QLD"">Toowoomba &amp; Darling Downs QLD</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $127,794 to $144,319 per annum plus super"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$127,794 to $144,319 per annum plus super</span></span></div></div>]",2024-01-30
6,https://www.seek.com.au//job/73511117?type=standout&ref=search-standalone,education training,Management - Schools,Director of Teaching and Learning,Korowa Anglican Girls' School,-,,,"Glen Iris, Melbourne VIC","This is an opportunity to be lead learning and academic growth across Korowa, Early Learning to Year 12.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Glen Iris"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Glen-Iris-VIC-3146?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Glen Iris"">Glen Iris</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",2024-02-06
7,https://www.seek.com.au//job/73565516?type=standout&ref=search-standalone,education training,Management - Schools,International Leadership Opportunities Australian Curriculum in UAE,Victoria International School of Sharjah,-,,,Melbourne VIC,"VISS is a premium not-for-profit international school Group in the United Arab Emirates, providing a quality Australian education.","[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>]",2024-02-07
8,https://www.seek.com.au//job/73476487?type=standard&ref=search-standalone,education training,Other,Education Programme Manager,Manpower,+10 % annual bonus,,,"Southbank, Melbourne VIC",Manage the full lifecycle learner experience for an International Accounting Program and Foundation exams,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Southbank"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Southbank-VIC-3006?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Southbank"">Southbank</a>, <a aria-label=""Limit results to Melbourne VIC"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Melbourne-VIC?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Melbourne VIC"">Melbourne VIC</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: +10 % annual bonus"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">+10 % annual bonus</span></span></div></div>]",2024-02-03
9,https://www.seek.com.au//job/73572604?type=standard&ref=search-standalone,education training,Workplace Training & Assessment,Strategic Training & Development Manager,NSW Police Force,"$139,787 - $161,663",,,"Sydney Olympic Park, Sydney NSW",Clerk Grade 11/12 Ongoing Full-Time Sydney Olympic Park About us The NSW Police Force (NSWPF) is one of the largest police forces in the western,"[<div class=""_1wkzzau0 a1msqi6m""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7""><a aria-label=""Limit results to Sydney Olympic Park"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-Sydney-Olympic-Park-NSW-2127?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney Olympic Park"">Sydney Olympic Park</a>, <a aria-label=""Limit results to Sydney NSW"" class=""_1wkzzau0 _1wkzzauf _1wkzzau0 _1wkzzauf _842p0a0 _842p0a2"" data-automation=""jobLocation"" href=""/jobs-in-education-training/in-All-Sydney-NSW?salarytype=annual&amp;salaryrange=155000-160000"" rel=""nofollow"" tabindex=""-1"" target=""_self"" title=""Limit results to Sydney NSW"">Sydney NSW</a></span></div>, <div class=""_1wkzzau0 a1msqi6m""><div aria-label=""Salary: $139,787 - $161,663"" class=""_1wkzzau0""><span class=""_1wkzzau0 a1msqi4y lnocuo0 lnocuo1 lnocuo21 _1d0g9qk4 lnocuo7"" data-automation=""jobSalary""><span class=""_1wkzzau0 _16v7pfz1 a1msqi4y a1msqi0 a1msqir _16v7pfz3"" style=""--_16v7pfz2:2"">$139,787 - $161,663</span></span></div></div>]",2024-02-08
